"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет увеличение счетчиков выполненных заказов после создания нового заказа","10390","Проверка изменения счетчиков заказов","tests","2025-11-07","passed","2025-11-07","TestFeedOrder","test_feed_order","",""
"Тест проверяет, что созданный заказ отображается в разделе 'в работе'","42791","Проверка отображения заказа 'в работе'","tests","2025-11-07","broken","2025-11-07","TestFeedOrder","test_feed_order","",""
"Тест проверяет, что созданный заказ отображается в разделе 'в работе'","8312","Проверка отображения заказа 'в работе'","tests","2025-11-07","passed","2025-11-07","TestFeedOrder","test_feed_order","",""
"Тест проверяет, что созданный заказ отображается в истории заказов и в ленте","8145","Проверка отображения заказа в истории и ленте","tests","2025-11-07","passed","2025-11-07","TestFeedOrder","test_feed_order","",""
"Тест проверяет создание заказа авторизованным пользователем","5397","Проверка создания заказа авторизованным пользователем","tests","2025-11-07","passed","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет работу кнопки ленты заказов","1082","Проверка клика на ленту заказов","tests","2025-11-07","passed","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет работу кнопки ленты заказов","1165","Проверка клика на ленту заказов","tests","2025-11-07","passed","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет, что созданный заказ отображается в истории заказов и в ленте","42816","Проверка отображения заказа в истории и ленте","tests","2025-11-07","broken","2025-11-07","TestFeedOrder","test_feed_order","",""
"Тест проверяет добавление ингредиента в конструктор бургера","708","Проверка добавления ингредиента в заказ","tests","2025-11-07","passed","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет создание заказа авторизованным пользователем","42830","Проверка создания заказа авторизованным пользователем","tests","2025-11-07","broken","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет возможность открытия истории заказов из личного кабинета","2837","Проверка открытия истории заказов","tests","2025-11-07","passed","2025-11-07","TestPersonalAccountPage","test_personal_account","",""
"Тест проверяет открытие и закрытие попапа с деталями заказа","1211","Проверка открытия и закрытия попапа заказа","tests","2025-11-07","passed","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет, что при клике на иконку глаза меняется видимость пароля","1301","Проверка изменения видимости пароля при клике на иконку глаза","tests","2025-11-07","broken","2025-11-07","TestResetPassword","test_reset_password","",""
"Тест проверяет возможность открытия истории заказов из личного кабинета","2478","Проверка открытия истории заказов","tests","2025-11-07","passed","2025-11-07","TestPersonalAccountPage","test_personal_account","",""
"Тест проверяет, что клик на заказ открывает попап с деталями","1147","Проверка открытия деталей заказа по клику","tests","2025-11-07","passed","2025-11-07","TestFeedOrder","test_feed_order","",""
"Тест проверяет возможность открытия личного кабинета авторизованным пользователем","2296","Проверка открытия личного кабинета","tests","2025-11-07","passed","2025-11-07","TestPersonalAccountPage","test_personal_account","",""
"Тест проверяет, что при клике на иконку глаза меняется видимость пароля","1761","Проверка изменения видимости пароля при клике на иконку глаза","tests","2025-11-07","passed","2025-11-07","TestResetPassword","test_reset_password","",""
"Тест проверяет возможность открытия личного кабинета авторизованным пользователем","1941","Проверка открытия личного кабинета","tests","2025-11-07","passed","2025-11-07","TestPersonalAccountPage","test_personal_account","",""
"Тест проверяет открытие и закрытие попапа с деталями заказа","1123","Проверка открытия и закрытия попапа заказа","tests","2025-11-07","passed","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет работу кнопки конструктора","76","Проверка клика на конструктор","tests","2025-11-07","passed","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет возможность выхода из аккаунта через личный кабинет","3327","Проверка выхода из аккаунта","tests","2025-11-07","passed","2025-11-07","TestPersonalAccountPage","test_personal_account","",""
"Тест проверяет увеличение счетчиков выполненных заказов после создания нового заказа","43921","Проверка изменения счетчиков заказов","tests","2025-11-07","broken","2025-11-07","TestFeedOrder","test_feed_order","",""
"Тест проверяет возможность выхода из аккаунта через личный кабинет","2999","Проверка выхода из аккаунта","tests","2025-11-07","passed","2025-11-07","TestPersonalAccountPage","test_personal_account","",""
"Тест проверяет, что клик на заказ открывает попап с деталями","1093","Проверка открытия деталей заказа по клику","tests","2025-11-07","passed","2025-11-07","TestFeedOrder","test_feed_order","",""
"Тест проверяет работу кнопки конструктора","157","Проверка клика на конструктор","tests","2025-11-07","passed","2025-11-07","TestMainFunc","test_main_func","",""
"Тест проверяет добавление ингредиента в конструктор бургера","617","Проверка добавления ингредиента в заказ","tests","2025-11-07","failed","2025-11-07","TestMainFunc","test_main_func","",""
